incident_unique_id,est_final_costs,est_final_costs_c
CA-ANF-4306|2007|1,300000000,3000000
NC-NCS-08-048-065|2008|1,270000000,27000000
AZ-COP-001102|2011|1,235000000,2350000
AZ-SCA-0072|2013|1,200000000,2000000
OR-DEF-000537|2012|1,172375900,17237590
CA-LNU-005007|2006|1,100000000,1000000
CA-LPF-2142|2003|1,15600000,1560000
CA-LPF-2142|2003|1,20000000,2000000
CA-LPF-2142|2003|1,87800000,8780000
CA-INF-724|2005|1,82500000,825000
CA-SRF-1224|2008|1,74000000,7400000
AZ-TNF-039|2012|1,73000000,7300000
WA-OWF-199|2003|1,39000000,40000000
MT-BDF-0000118|2013|1,60000000,6000000
OR-UPF-073|2002|1,54940000,5494000
CO-PSF-404|2002|1,52000000,45000000
CO-LRX-329|2012|1,39200000,39200000
MT-LNF-000264|2003|1,49900000,25000000
MT-FNF-036|2003|1,35000000,37000000
CA-SRF-1126|2008|1,24000000,24000000
WA-OWF-271|2004|1,42000000,28000000
WA-OWF-271|2004|1,42000000,28000000
WY-YNP-0202|2002|1,40000000,4000000
WY-YNP-0202|2002|1,40000000,4000000
WA-OWF-199|2003|1,40000000,40000000
WA-OWF-199|2003|1,40000000,40000000
UT-MLF-2190|2002|1,38000000,3800000
CA-KNF-5659|2012|1,28000000,28000000
CO-GMF-091|2002|1,37000000,370000
MT-FHA-115|2007|1,37000000,32000000
CA-SQF-001356|2008|1,35000000,25000000
CA-SRF-1131|2009|1,20000000,17500000
MT-FNF-036|2003|1,48000000,37000000
CA-SRF-997|2006|1,20000000,18000000
CO-RMP-000197|2010|1,33000000,3300000
CA-INF784|2007|1,32236000,3223600
CA-MNF-964|2003|1,31600000,3160000
CA-MVU-05658|2002|1,30000000,27000000
CA-TMU-11011|2007|1,15000000,13500000
NM-GNF-000143|2012|1,30000000,25000000
MT-LNF-000264|2003|1,49000000,25000000
AZ-TNF-000133|2006|1,25000000,250000
ID-BOF-000183|2006|1,18000000,18000000
CA-SHF-002744|2012|1,10000000,10000000
CA-MNF-964|2003|1,31600000,20000000
AZ-CNF-090|2003|1,16400000,16400000
CA-AFV-0364|2002|1,17000000,1700000
GA-GAS-201103|2011|1,20000000,2000000
OR-WSA-059|2002|1,25000000,2500000
MT-LCF-024|2001|1,14000000,1400000
MT-GNF-01-037|2001|1,13000000,1300000
NV-HTF-1365|2006|1,14000000,1400000
MN-MNS-121009|2012|1,11000000,1100000
MT-BDF-000181|2013|1,14000000,1400000
NV-WID-020210|2012|1,17000000,100000
NV-HTF-1545|2002|1,8000000,800000
UT-SLD-000478|2012|1,3000000,800000
UT-SLD-000478|2012|1,8000000,800000
OR-VAD-37|2013|1,7500000,750000
WY-BHF-000182|2007|1,8400000,840000
